name	target
19123	0
31250	0
1897	0
29585	0
27389	0
19628	0
4661	1
19614	0
18818	1
10621	0
19456	0
30956	1
22184	0
6250	1
29802	1
6329	0
19592	0
1848	1
3438	0
28224	0
4485	1
27138	1
5642	0
35208	0
14251	1
25837	1
21197	1
28719	0
12417	0
11883	0
27822	1
31931	0
25737	1
8083	1
1469	1
21074	1
7088	1
11380	0
10758	1
86	1
17911	0
33099	1
33019	1
22616	1
3857	1
12290	0
20737	1
20331	1
23275	0
133	1
23763	1
34224	0
8429	1
1561	1
10915	1
29124	1
23792	0
32652	0
26126	1
21892	1
7211	1
30723	1
11344	1
21639	1
7422	1
17752	1
7122	1
34642	0
35169	0
5917	0
12351	1
22976	0
4855	1
10312	0
20785	0
8528	0
22459	0
7706	1
16078	0
26006	0
34404	1
25869	0
20460	1
21462	1
24672	1
33945	0
14965	1
12114	0
15254	0
25805	1
15246	0
10266	1
6709	1
28510	0
7777	0
3781	1
14896	1
25760	1
1067	1
30527	1
29691	0
31724	0
23986	0
19034	0
9686	0
6390	1
17938	0
7339	0
21565	0
19975	0
34271	1
32136	0
21255	0
26805	0
17213	0
31574	0
19355	0
35148	1
25578	1
25369	1
30817	0
1421	0
31247	1
10295	1
21310	0
22651	1
17437	0
11037	1
29529	1
19835	1
22658	1
26481	1
19497	1
19110	0
8971	1
17317	1
8899	1
9803	0
1715	0
26962	0
15142	0
12313	0
35411	0
34153	1
19125	0
4735	1
16180	1
16222	1
29794	0
7360	0
31104	0
24438	1
15996	0
24701	0
14378	0
29244	1
27182	1
31108	0
11798	1
21045	1
2168	1
17928	0
26476	1
11310	1
6170	1
11842	1
16450	1
19813	0
14457	0
16425	1
16036	1
19488	0
22695	0
10390	0
7275	0
1050	0
17531	0
8222	1
1994	1
16666	0
13912	0
17103	1
820	0
30557	1
6132	1
9201	1
5282	0
23012	1
35264	1
27061	1
24035	1
21790	1
33568	1
3805	1
32446	1
29479	0
23307	0
27414	1
1714	1
22332	0
537	1
20784	0
6053	0
27064	0
16849	1
30855	0
31124	1
30614	1
17533	0
17222	0
14809	1
25388	1
22529	0
24390	0
27973	1
12992	1
28357	1
5379	0
28546	0
34160	0
15476	1
15379	1
32517	0
24096	1
9524	1
18876	1
1075	0
9808	0
27907	0
24773	0
21711	1
6307	1
29666	1
23615	1
9222	1
26551	0
12870	1
6698	1
13498	1
30043	1
179	0
9135	0
28581	0
29844	0
19246	0
28540	1
21447	0
17142	0
25246	0
5927	1
25038	0
9519	1
33729	1
18914	0
29693	0
10113	1
10990	1
10424	0
3793	0
4962	0
18554	0
27709	0
19350	0
8908	0
24558	1
5565	0
9167	0
8109	0
28081	1
34772	1
10282	0
28693	1
3231	1
6583	1
5339	0
6490	0
21689	0
23636	1
32551	0
32019	0
4155	1
5366	1
6297	1
10580	0
18849	1
2937	1
27477	0
21538	1
26862	1
4083	0
33397	1
2428	1
26242	0
31088	1
4299	0
22519	0
21256	1
16710	0
5888	1
6003	1
20167	1
18889	0
15576	0
31627	0
13669	0
32967	1
16038	1
11657	0
15498	1
8366	1
28437	1
33440	1
12595	1
6907	0
19546	0
10656	0
26930	0
22272	0
19863	1
6228	1
13062	1
18341	1
2055	1
32914	0
5790	0
20979	0
24046	1
7912	0
35532	0
28856	1
25671	0
20316	1
25860	0
30388	1
34576	0
27355	1
25089	0
28288	1
20679	0
12485	0
22890	1
22573	1
6724	0
24155	0
1335	0
28814	0
35249	1
12581	1
33207	1
9009	1
21307	1
28787	1
27918	1
32681	1
30450	1
8519	0
19045	1
32667	0
4497	1
17519	0
32285	1
15154	0
20862	0
32151	0
924	1
29057	0
30486	1
28906	1
19290	1
21799	1
35309	1
16494	1
32400	1
13620	1
4545	1
2441	0
28729	0
948	1
34149	0
5572	1
25778	1
2699	1
6715	1
19194	1
26663	1
33462	0
15765	0
31775	0
27452	1
21519	0
33597	0
9331	0
22057	0
34068	0
27146	1
7044	0
3977	0
10844	0
20919	1
5130	1
3968	1
2901	0
29623	0
26129	1
1386	0
17261	1
2787	1
331	1
35032	1
23170	1
15672	1
11230	0
27537	1
9371	0
24012	1
5600	0
32846	1
10498	1
31068	1
24692	1
8201	1
22	0
17001	0
32945	1
20195	1
13188	1
15038	0
33429	0
34138	1
1770	1
553	0
4902	0
9699	1
6145	0
16057	0
3755	1
16983	1
9687	1
8035	0
26555	0
33241	1
11865	1
26198	1
18479	1
23561	0
7390	1
34938	1
13923	0
14556	0
13864	0
7636	1
4573	1
4738	1
22496	1
8679	1
16092	1
6861	0
12612	1
19338	1
23203	1
28352	1
3885	1
34223	1
27684	0
1657	0
22643	1
31907	0
25573	1
29880	1
2558	1
32415	0
8550	1
27700	1
5285	1
27949	1
21498	0
15237	0
24018	1
34559	0
26206	1
3821	0
14066	1
4634	0
4887	0
34348	1
23470	1
18936	0
31548	0
26680	1
12869	0
10153	1
6209	1
1723	0
30013	1
7787	1
1445	1
25889	1
26131	1
944	0
31135	1
6331	1
5262	0
475	1
26657	1
11540	0
34653	1
32943	1
22359	1
9777	0
22922	0
26203	0
13448	0
4468	0
10159	1
9924	0
226	1
29863	0
35375	0
5727	1
25693	0
13123	0
34284	0
18567	0
30254	0
4748	0
18252	1
6814	0
31022	1
26346	1
26256	0
6080	1
31036	1
27345	1
8012	0
14938	0
6103	1
29834	0
18511	0
28785	1
16804	1
15434	1
32851	0
27231	0
25143	0
14046	1
1475	0
6382	0
11072	0
5951	0
35441	0
7676	1
9599	0
28182	1
2686	1
7170	1
7025	1
10037	0
19299	0
6690	0
13783	1
3312	0
9340	0
25517	0
32738	1
20896	0
13902	1
33864	0
27742	0
688	0
10349	0
2121	1
29866	1
6713	1
22958	0
28826	0
15905	1
18465	1
28397	0
9862	1
28921	0
5814	0
15099	1
8169	1
13179	1
5723	0
8691	0
30797	1
4919	0
10854	0
34691	1
28992	0
31480	0
5556	0
31065	1
16884	0
30340	1
21019	0
5494	1
25587	1
27600	0
9470	1
11617	0
3950	0
22550	1
26541	0
14908	0
18892	0
33410	1
2043	0
10013	0
24932	0
24948	1
7842	0
12496	1
13927	1
30187	1
26403	1
25069	1
10822	1
14478	0
5675	0
21941	0
33632	1
6555	1
32608	0
6577	0
10388	1
22278	1
35088	0
29515	0
12463	1
32128	1
29286	0
15324	0
33669	0
12588	0
4723	1
3419	1
32754	1
32110	0
17772	0
22238	0
25204	1
9711	1
20876	0
27866	1
4720	1
21013	1
25325	0
21726	1
26750	1
9575	1
14271	0
18332	0
29513	1
195	1
3518	0
5598	0
17891	1
1580	1
17667	1
19281	1
26227	0
25168	1
25944	1
32969	0
23206	0
13629	0
5267	0
151	1
33856	1
13735	0
22394	0
6474	0
7837	0
30554	1
25332	1
7571	0
14108	1
14782	0
7836	0
11721	1
20158	1
19260	0
32926	1
24064	0
29882	0
21530	0
34297	1
20362	0
12328	1
6655	0
12368	0
5932	0
24475	0
20159	1
30716	0
34170	0
33126	1
33663	1
25373	1
3704	1
20267	0
35372	0
21051	1
23473	1
23350	0
25784	0
10834	1
35129	0
15046	0
10933	0
7982	1
25736	1
14914	1
7726	0
13417	1
30045	0
1162	0
34531	1
22221	1
22104	0
13369	1
21977	0
5074	0
34300	1
16020	1
21014	0
14173	1
11529	0
4644	1
26671	1
5265	1
3331	0
2286	0
29011	1
32623	1
1296	0
29625	0
33699	0
32698	0
20401	0
18096	1
15411	1
11291	1
23052	0
24194	1
19378	0
12978	1
9264	1
2028	1
30569	1
28704	0
7424	0
2666	1
33088	1
16739	1
31991	0
15022	1
23030	1
4958	0
19187	1
27095	1
21146	0
25852	1
19558	0
11718	1
11925	1
34255	0
23249	1
14299	1
8257	1
13354	0
35505	1
13050	0
3066	1
15053	0
330	1
13293	0
27388	1
8099	1
23416	0
3346	0
10059	0
2309	1
20940	0
26843	1
23926	0
30683	1
29554	0
2793	0
29054	0
14618	0
34969	0
1519	1
8106	0
276	0
34571	1
30947	1
29006	1
24304	0
2870	0
13748	1
203	0
15010	0
25747	1
9003	0
8543	0
6124	0
10020	0
9350	1
23991	0
35343	1
17925	1
2030	0
15664	0
2767	0
7666	0
12621	1
34228	0
5819	0
10173	1
26054	0
23790	0
31352	1
30699	1
35327	0
14199	0
6225	1
31570	1
24169	0
28512	0
30836	1
16127	0
14368	0
28863	1
28899	1
7425	0
3143	1
23081	1
